Using dataset of 200 samples for training.
✅ Found 200 pairs out of 200 listed in CSV.
Using cpu device
Logging to runs/601mft6k/PPO_1
---------------------------------
| rollout/           |          |
|    iterations           | 48         |
|    time_elapsed         | 252        |
|    total_timesteps      | 98304      |
| train/                  |            |
|    approx_kl            | 0.07248649 |
|    clip_fraction        | 0.221      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.41      |
|    explained_variance   | 0.0475     |
|    learning_rate        | 0.0003     |
|    loss                 | 218        |
|    n_updates            | 470        |
|    policy_gradient_loss | 0.0161     |
|    value_loss           | 480        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 17          |
|    ep_rew_mean          | 8.75        |
| time/                   |             |
|    fps                  | 392         |
|    iterations           | 49          |
|    time_elapsed         | 255         |
|    total_timesteps      | 100352      |
| train/                  |             |
|    approx_kl            | 0.029627582 |
|    clip_fraction        | 0.154       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.4        |
|    explained_variance   | 0.0396      |
|    learning_rate        | 0.0003      |
|    loss                 | 274         |
|    n_updates            | 480         |
|    policy_gradient_loss | 0.00418     |
|    value_loss           | 544         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 11         |
|    ep_rew_mean          | 8.02       |
| time/                   |            |
|    fps                  | 393        |
|    iterations           | 50         |
|    time_elapsed         | 260        |
|    total_timesteps      | 102400     |
| train/                  |            |
|    approx_kl            | 0.10085526 |
|    clip_fraction        | 0.223      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.39      |
|    explained_variance   | 0.0285     |
|    learning_rate        | 0.0003     |
|    loss                 | 329        |
|    n_updates            | 490        |
|    policy_gradient_loss | 0.0548     |
|    value_loss           | 654        |
----------------------------------------
--------------------------------------
| rollout/                |          |
|    ep_len_mean          | 16.7     |
|    ep_rew_mean          | 12.7     |
| time/                   |          |
|    fps                  | 395      |
|    iterations           | 51       |
|    time_elapsed         | 264      |
|    total_timesteps      | 104448   |
| train/                  |          |
|    approx_kl            | 0.047693 |
|    clip_fraction        | 0.134    |
|    clip_range           | 0.2      |
|    entropy_loss         | -1.41    |
|    explained_variance   | 0.00495  |
|    learning_rate        | 0.0003   |
|    loss                 | 439      |
|    n_updates            | 500      |
|    policy_gradient_loss | 0.0191   |
|    value_loss           | 877      |
--------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 14.1        |
|    ep_rew_mean          | 5.82        |
| time/                   |             |
|    fps                  | 398         |
|    iterations           | 52          |
|    time_elapsed         | 267         |
|    total_timesteps      | 106496      |
| train/                  |             |
|    approx_kl            | 0.013191525 |
|    clip_fraction        | 0.146       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.42       |
|    explained_variance   | 0.0331      |
|    learning_rate        | 0.0003      |
|    loss                 | 323         |
|    n_updates            | 510         |
|    policy_gradient_loss | 0.00995     |
|    value_loss           | 606         |
